Desc	Publish Date	Currency	Price	Año	Color	Tipo de combustible	Puertas	Transmisión	Motor	Tipo de carrocería	Kilómetros	Codigo	Seller Type	Reputation Code	Brand	Model	Loc1	Loc2	Loc3
Renault Clio 1.2 Mío Expression Pack I	2020-11-12	$	550000	2013	Gris	Nafta	5	Manual	1.2	Hatchback	71493	MLA900725723	car_dealer	none	Renault	Clio	Buenos Aires Interior	Lobos	Lobos
Renault Clio 1.2 Mio Confort Abs Abcp	2020-12-23	$	675000	2015		Nafta	3	Manual	1.2	Hatchback	31000	MLA902079500	normal	5_green	Renault	Clio	Bs.As. G.B.A. Sur	Florencio Varela	none
Renault Clio 1.2 Mio Confort Abs Abcp	2020-12-20	$	690000	2014		Nafta	3	Manual	1.2	Hatchback	38300	MLA901751386	normal	none	Renault	Clio	Córdoba	Córdoba	none
Renault Clio 1.6 Expression	2020-12-16	$	450000	2003		Nafta	4	Manual	1.6	Sedán	280000	MLA901322178	normal	none	Renault	Clio	Buenos Aires Interior	Brandsen	none
Renault Clio 1.2 Mio Confort Plus Abs Abcp	2020-12-18	$	590000	2014	Rojo	Nafta	5	Manual	1.2	Hatchback	55000	MLA901570427	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	Vicente López	Munro
Renaul Clio Mio 2015 Dynamique Full Papeles Al Dia	2020-11-18	$	702000	2015	Gris	Nafta	4	Manual	1.2	Hatchback	62504								
Renault Clio 1.2 Mio Confort Plus Abs Abcp	2020-12-22	$	720000	2014	Blanco	Nafta	5	Manual	1.2	Hatchback	81500	MLA902017882	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	Pilar	Pilar
Renault Clio 1.2 Mio Work	2020-12-16	$	595000	2016	Blanco	Nafta	3	Manual	1.2	Hatchback	98000	MLA901282422	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Norte	Escobar	Belén de Escobar
Renault Clio 1.2 Mio Dynamique	2020-05-12	$	950000	2016	Plateado	Nafta	3	Manual	1.2	Hatchback	34000	MLA900077321	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	San Isidro	Villa Adelina
Renault Clio 1.2 Mio Confort Plus Abc	2020-12-17	$	640000	2013	Gris	Nafta	5	Manual	1.2	Hatchback	83000	MLA901515304	normal	none	Renault	Clio	Córdoba	Córdoba	Ameghino Sud
Renault Clio 1.6 Privilege 4 p	2020-04-12	$	350000	2003	Azul	Nafta	4	Manual	1.6	Sedán	160000	MLA899917152	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	Almirante Brown	Burzaco
Renault Clio 1.2 Mío Expression Pack Ii Ab	2020-11-17	$	565000	2013	Gris	Nafta	3	Manual	1.2	Hatchback	129300	MLA897644573	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	Hurlingham	none
Renault Clio 1.2 Mio Dynamique	2020-11-22	$	715000	2016	Negro	Nafta	3	Manual	1.2	Hatchback	52000	MLA898290012	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	Lomas de Zamora	none
Renault Clio 1.2 Mio Confort Pack	2020-12-22	$	630000	2016		Nafta	3	Manual	1.2	Hatchback	70000	MLA902020799	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	Tres de febrero	none
Renault Clio 1.2 Mio Dynamique	2020-12-21	$	720000	2016	Dorado	Nafta	3	Manual	1.2	Hatchback	108000								
Renault Clio DYNAMIQUE SAT Asesor carlos torres	2020-12-17	$	739999	2016	Blanco	Nafta	5	Manual	1.2	Hatchback	46000	MLA901509389	car_dealer	4_light_green	Renault	Clio	Capital Federal	Capital Federal	Villa Lugano
Renault Clio 2015 Dynamique	2020-12-23	$	712000	2015	Blanco	Nafta	5				54300	MLA902118727	normal	none	Renault	Clio	Capital Federal	Capital Federal	Caballito
Renault Clio 1.2 Mio Confort Pack	2020-07-11	$	735000	2016		Nafta	3	Manual	1.2	Hatchback	39500	MLA896238411	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	Berazategui	none
Renault Clio 1.2 F2 Yahoo Authe.	2020-04-12	$	435000	2005	Verde	Nafta	3	Manual	1.2	Hatchback	140000	MLA899964260	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	San Miguel	San Miguel
Renault Clio 1.2 Mio Confort Plus Abs Abcp	2020-06-19	$	700000	2015		Nafta	5	Manual	1.2	Hatchback	95000	MLA885628844	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	General San Martín	none
Renault Clio 1.6 Privilege	2020-12-21	$	320000	2006		Nafta	4	Manual	1.6	Sedán	210000	MLA901934103	normal	none	Renault	Clio	Chaco	Resistencia	none
Renault Clio 1.2 Mio Confort Pack	2020-12-13	$	750000	2016		Nafta	3	Manual	1.2	Hatchback	42000	MLA900948919	normal	none	Renault	Clio	Capital Federal	Capital Federal	none
Renault Clio 1.2 Mio Confort Abs Abcp	2020-11-19	$	562000	2014	Negro	Nafta	3	Manual	1.2	Hatchback	73007	MLA897937942	normal	5_green	Renault	Clio	Bs.As. G.B.A. Sur	Lanús	Lanús Este
Renault Clio 1.2 Mio Confort Abs Abcp	2020-09-23	$	620000	2015	Azul	Nafta	3	Manual	1.2	Hatchback	88000	MLA898686307	normal	none	Renault	Clio	Córdoba	Río Cuarto	Río Cuarto
Renault Clio 1.2 Mio Confort Plus Abc	2020-12-16	$	640000	2013	Gris	Nafta	5	Manual	1.2	Hatchback	65000	MLA901372402	normal	5_green	Renault	Clio	Bs.As. G.B.A. Sur	Avellaneda	Gerli
Renault Clio 1.6 Gps	2020-11-23	$	458000	2005		Nafta	5	Manual	1.6	Hatchback	135000	MLA898499002	normal	none	Renault	Clio	Capital Federal	Capital Federal	none
Renault Clio 1.2 Authentique 75cv	2020-12-13	$	518000	2012	Negro	Nafta/GNC	5	Manual	1.2	Hatchback	86000	MLA900904262	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	Quilmes	Quilmes
Renault Clio 1.2 Mío Authentique Pack Abs Abcp	2020-11-26	$	685000	2015		Nafta	5	Manual	1.2	Hatchback	69000	MLA898874888	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	Malvinas Argentinas	none
