Desc	Publish Date	Currency	Price	Año	Color	Tipo de combustible	Puertas	Transmisión	Motor	Tipo de carrocería	Kilómetros	Codigo	Seller Type	Reputation Code	Brand	Model	Loc1	Loc2	Loc3
Peugeot 207 1.6 Xs	3/11/2020	$	 590.000 	2011	Negro	Nafta	5	Manual	1.6	Hatchback	 94.000 								
Peugeot 207 1.6 Xt	26/10/2020	$	 620.000 	2011		Nafta	5	Manual	1.6	Hatchback	 92.000 	MLA885536504	normal	4_light_green	Peugeot	207	Bs.As. G.B.A. Oeste	La Matanza	none
Peugeot 207 1.4 Allure 75cv	11/2/2020	$	 810.000 	2016		Nafta	5	Manual	1.4	Hatchback	 34.500 	MLA886518817	normal	none	Peugeot	207	Neuquén	Neuquén	none
Peugeot 207 1.6 Coupe Turbo 150 Cv	23/10/2020	U$S	 11.000 	2009		Nafta	2	Manual	1.6	Coupé	 89.000 	MLA885172573	normal	none	Peugeot	207	Bs.As. G.B.A. Sur	Lanús	none
Peugeot 207 1.6 Xt	14/8/2020	$	 730.000 	2011		Nafta	5	Manual	1.6	Hatchback	 153.000 	MLA873427962	car_dealer	none	Peugeot	207	Buenos Aires Interior	Rauch	none
Peugeot 207 1.4 Allure 75cv	18/6/2020	$	 625.000 	2013	Blanco	Nafta	3	Manual	1.4	Hatchback	 109.000 	MLA862983267	car_dealer	none	Peugeot	207	Bs.As. G.B.A. Sur	Florencio Varela	none
Peugeot 207 1.4 Xs	11/10/2020	$	 635.000 	2012		Nafta	3	Manual	1.4	Hatchback	 128.000 	MLA896547729	normal	none	Peugeot	207	Bs.As. G.B.A. Sur	Avellaneda	none
Peugeot 207 Compact xs 1.6 5 pts	11/10/2020	$	 600.000 	2012	Plateado	Nafta	5	Manual	1.6		 150.000 	MLA896602027	normal	none	Peugeot	207	Buenos Aires Interior	Mercedes	Mercedes
Peugeot 207 1.6 Griffe 106cv	28/9/2020	$	 790.000 	2012		Nafta	3	Manual	1.6	Hatchback	 78.000 	MLA900731002	car_dealer	none	Peugeot	207	Buenos Aires Interior	Trenque Lauquen	none
Peugeot 207 1.4 Sedan Xs	26/11/2020	$	 672.000 	2012		Nafta	4	Manual	1.4	Sedán	 56.000 	MLA898941773	normal	none	Peugeot	207	Capital Federal	Capital Federal	none
Peugeot 207 5p 2011 Xt Premium +full Tech Clim 1.9d Jub Liq	12/5/2020	$	 595.000 	2011	Negro	Diésel	4	Manual	1.9	Hatchback	 85.000 	MLA900052171	car_dealer	none	Peugeot	207	Córdoba	Córdoba	San Martín
Peugeot 207 1.6 Gti 156cv	28/11/2020	$	 970.000 	2012		Nafta	2	Manual	1.6	Hatchback	 75.500 	MLA899152367	normal	none	Peugeot	207	Bs.As. G.B.A. Norte	Tigre	none
Peugeot 207 1.4 Active 75cv	10/6/2020	$	 740.000 	2013		Nafta	3	Manual	1.4	Hatchback	 96.000 	MLA882660025	car_dealer	none	Peugeot	207	Córdoba	Córdoba	none
Peugeot 207 2.0 Sedan Xt Hdi	11/12/2020	$	 690.000 	2010	Gris	Diésel	4	Manual	2.0	Sedán	 140.000 	MLA896986685	normal	5_green	Peugeot	207	Capital Federal	Capital Federal	none
Peugeot 207 1.6 Griffe 106cv	11/8/2020	$	 780.000 	2011		Nafta	3	Manual	1.6	Hatchback	 84.500 	MLA896286355	normal	none	Peugeot	207	Bs.As. G.B.A. Sur	Avellaneda	none
Peugeot 207 1.4 Sedan Xr	15/12/2020	$	 550.000 	2011		Nafta	4	Manual	1.4	Sedán	 115.000 	MLA901126850	car_dealer	none	Peugeot	207	Bs.As. G.B.A. Norte	San Isidro	none
Peugeot 207 1.4 Active 75cv	8/9/2020	$	 670.000 	2013	Azul	Nafta	3	Manual	1.4	Hatchback	 120.000 	MLA872519320	car_dealer	none	Peugeot	207	Mendoza	Godoy Cruz	Godoy Cruz
Peugeot 207 1.9 Sedan Xrd	12/3/2020	$	 675.000 	2010	Rojo	Diésel	4	Manual	1.9	Sedán	 204.000 	MLA899859276	car_dealer	none	Peugeot	207	Buenos Aires Interior	Bragado	Bragado
